ts,open,high,low,close,vol,date
1738539000,97204.27,98500.0,96400.0,97015.45,0.8384135169,2025-02-02 23:30:00
1738542600,97015.54,97097.02,95111.0,95281.23,2.1597136622,2025-02-03 00:30:00
1738546200,95281.11,98598.99,92343.0,94019.11,5.4300597689,2025-02-03 01:30:00
1738549800,94019.12,94994.88,93500.0,94550.0,1.80234341,2025-02-03 02:30:00
1738553400,94550.0,94668.87,93250.0,93374.91,1.471355139,2025-02-03 03:30:00
1738557000,93301.0,93563.69,92500.0,93550.0,1.6913271486,2025-02-03 04:30:00
1738560600,93450.1,94500.0,93450.1,94463.28,1.5062496101,2025-02-03 05:30:00
1738564200,94463.28,94685.89,93700.04,94298.79,0.9848216994,2025-02-03 06:30:00
1738567800,94298.78,96000.0,94150.0,95599.58,2.5776124204,2025-02-03 07:30:00
1738571400,95599.57,96100.0,95001.03,96005.04,1.7024250291,2025-02-03 08:30:00
1738575000,96005.04,96100.0,94851.0,95000.0,0.9323839646,2025-02-03 09:30:00
1738578600,95000.0,95699.96,94950.11,95168.59,0.8701138339,2025-02-03 10:30:00
1738582200,95409.99,95409.99,94894.5,95238.1,1.0865881741,2025-02-03 11:30:00
1738585800,95150.01,95347.37,94333.0,94333.0,0.5553937044,2025-02-03 12:30:00
1738589400,94370.0,95245.0,94070.0,94439.62,0.7768834552,2025-02-03 13:30:00
1738593000,94470.29,98000.0,94310.18,97924.01,2.450501498,2025-02-03 14:30:00
1738596600,98000.0,99329.99,97642.02,98212.05,2.6885874756,2025-02-03 15:30:00
1738600200,98213.04,98599.98,97489.1,98251.06,0.936136114,2025-02-03 16:30:00
1738603800,98251.13,99360.0,97500.25,99299.0,1.50041154,2025-02-03 17:30:00
1738607400,99298.0,100565.0,98700.0,100450.0,2.4319875368,2025-02-03 18:30:00
1738611000,100400.0,101220.0,99242.53,100993.99,3.0978531005,2025-02-03 19:30:00
1738614600,100993.99,101100.98,100030.0,100201.17,1.4038466714,2025-02-03 20:30:00
1738618200,100766.81,101298.0,100300.01,101200.0,1.1121551474,2025-02-03 21:30:00
1738621800,101000.0,101200.0,100460.45,100539.85,0.3170720306,2025-02-03 22:30:00
1738625400,100599.91,100948.0,100356.0,100555.03,1.1418240168,2025-02-03 23:30:00
1738629000,100560.0,100945.12,99706.97,99940.7,0.420432645,2025-02-04 00:30:00
1738632600,99940.7,100939.99,99940.7,100399.1,0.2302876704,2025-02-04 01:30:00
1738636200,100399.05,100399.05,99765.0,99765.0,0.2451344049,2025-02-04 02:30:00
1738639800,99765.0,99850.0,99170.01,99455.3,0.5568446668,2025-02-04 03:30:00
1738643400,99455.0,99455.0,97370.0,97580.0,1.8028110084,2025-02-04 04:30:00
1738647000,97800.0,98879.99,97373.02,98001.2,1.0726023942,2025-02-04 05:30:00
1738650600,98055.0,99000.0,98055.0,98600.0,0.335518722,2025-02-04 06:30:00
1738654200,98181.3,98499.99,97380.01,97708.0,1.2806118657,2025-02-04 07:30:00
1738657800,97892.0,98199.99,97290.0,97870.0,0.5939264842,2025-02-04 08:30:00
1738661400,98199.77,98348.97,97800.0,98199.0,0.3676361772,2025-02-04 09:30:00
1738665000,98194.97,98899.0,97910.05,98899.0,0.4420314296,2025-02-04 10:30:00
1738668600,98899.0,99196.75,98515.0,98950.0,0.5813740592,2025-02-04 11:30:00
1738672200,98949.94,99200.0,98702.06,98715.0,0.2858528992,2025-02-04 12:30:00
1738675800,98980.98,98999.99,98000.0,98489.99,0.5024697538,2025-02-04 13:30:00
1738679400,98501.72,99900.0,97700.0,98352.0,2.0437864503,2025-02-04 14:30:00
1738683000,98352.01,99118.98,98352.01,98663.08,0.4634388216,2025-02-04 15:30:00
1738686600,99000.0,99100.0,98499.96,98499.96,0.6411318158,2025-02-04 16:30:00
1738690200,98411.0,98718.91,98250.0,98549.8,0.2696839822,2025-02-04 17:30:00
1738693800,98251.0,99800.0,98251.0,99697.0,1.0285148406,2025-02-04 18:30:00
1738697400,99697.0,99850.05,97320.01,97481.58,1.7144823901,2025-02-04 19:30:00
1738701000,97481.58,98500.0,96403.03,96405.07,1.8136519246,2025-02-04 20:30:00
1738704600,96405.07,98500.0,95555.01,96482.3,1.4691746383,2025-02-04 21:30:00
1738708200,96482.3,97769.75,95300.0,97201.0,1.0288097385,2025-02-04 22:30:00
1738711800,96604.06,97698.97,96604.06,97065.2,0.0939323232,2025-02-04 23:30:00
1738715400,97492.0,98700.0,97186.72,97766.53,0.1916842516,2025-02-05 00:30:00
1738719000,97766.53,97984.98,96801.5,96801.5,0.1667652205,2025-02-05 01:30:00
1738722600,96604.92,97500.0,96335.26,97498.0,0.0879727231,2025-02-05 02:30:00
1738726200,97499.99,97699.99,97055.03,97489.96,0.1102898787,2025-02-05 03:30:00
1738729800,97449.86,97789.67,97400.0,97549.01,0.1344341103,2025-02-05 04:30:00
1738733400,97549.0,97799.95,97056.0,97550.11,0.1744024013,2025-02-05 05:30:00
1738737000,97500.0,97550.11,97008.2,97189.88,0.3105827371,2025-02-05 06:30:00
1738740600,97009.19,97500.0,97000.0,97260.0,0.1281888847,2025-02-05 07:30:00
1738744200,97279.0,97498.99,97000.0,97053.67,0.372947331,2025-02-05 08:30:00
1738747800,97080.0,97225.26,96400.0,97220.0,0.625835223,2025-02-05 09:30:00
1738751400,97292.0,97550.11,97004.21,97539.57,0.6098255157,2025-02-05 10:30:00
1738755000,97530.0,98099.99,97155.01,97681.02,0.4488441023,2025-02-05 11:30:00
1738758600,97995.88,98000.0,97350.0,97742.01,0.2536465674,2025-02-05 12:30:00
1738762200,97742.01,98180.0,97211.0,97800.21,0.3994881308,2025-02-05 13:30:00
1738765800,97888.0,98450.0,97200.01,97499.37,0.8971041815,2025-02-05 14:30:00
1738769400,97499.62,97799.98,97011.02,97145.0,0.6161025816,2025-02-05 15:30:00
1738773000,97145.08,97750.0,97021.0,97065.46,0.5501291703,2025-02-05 16:30:00
1738776600,97065.47,97241.0,96386.63,96403.01,0.786612836,2025-02-05 17:30:00
1738780200,96580.0,96998.68,95501.0,96430.0,0.6859731698,2025-02-05 18:30:00
1738783800,96429.99,97500.22,96122.01,97001.0,0.4240578534,2025-02-05 19:30:00
1738787400,97001.0,97170.0,96299.99,97170.0,0.4019008116,2025-02-05 20:30:00
1738791000,97169.94,97169.94,96100.0,96200.8,0.1581025898,2025-02-05 21:30:00
1738794600,96369.0,96376.07,95600.0,96000.0,0.6002685123,2025-02-05 22:30:00
1738798200,96187.08,96430.0,95603.05,96322.54,0.0801110107,2025-02-05 23:30:00
1738801800,96001.74,96849.99,96000.08,96818.84,0.0455034078,2025-02-06 00:30:00
1738805400,96818.73,96819.0,96483.06,96782.0,0.1482251713,2025-02-06 01:30:00
1738809000,96781.99,96818.72,96621.61,96818.72,0.0518556996,2025-02-06 02:30:00
1738812600,96818.72,97489.9,96620.0,97488.79,0.1467390959,2025-02-06 03:30:00
1738816200,97479.98,97479.98,96800.0,97199.97,0.2177633173,2025-02-06 04:30:00
1738819800,97100.0,97517.66,97000.02,97517.66,0.341620054,2025-02-06 05:30:00
1738823400,97517.66,97799.99,97307.05,97500.01,0.5159060726,2025-02-06 06:30:00
1738827000,97550.0,97688.98,96500.0,97250.08,0.396026251,2025-02-06 07:30:00
1738830600,97400.0,97950.0,97101.09,97700.0,1.1472590535,2025-02-06 08:30:00
1738834200,97900.4,98180.0,97560.0,98180.0,0.8996033122,2025-02-06 09:30:00
1738837800,98154.0,98350.0,97730.03,97800.0,0.6487354585,2025-02-06 10:30:00
1738841400,97800.0,98310.0,97640.0,97977.96,0.6821503172,2025-02-06 11:30:00
1738845000,97999.0,98177.24,97120.0,97442.59,0.9621141513,2025-02-06 12:30:00
1738848600,97442.71,97960.0,97441.6,97441.6,0.3642662781,2025-02-06 13:30:00
1738852200,97377.01,97956.99,96996.0,96996.01,1.0800674834,2025-02-06 14:30:00
1738855800,96996.01,97058.98,96511.02,96516.5,0.883537899,2025-02-06 15:30:00
1738859400,96516.5,96516.5,96020.0,96060.08,0.5873503268,2025-02-06 16:30:00
1738863000,96269.0,96899.87,95900.0,96140.65,0.9308679919,2025-02-06 17:30:00
1738866600,96100.0,96489.99,95700.0,96400.03,0.5499250892,2025-02-06 18:30:00
1738870200,96300.51,96300.51,95370.0,96000.0,1.1153526757,2025-02-06 19:30:00
1738873800,96000.0,96699.99,95999.0,96062.01,0.8016575903,2025-02-06 20:30:00
